,Unnamed: 0,DEPT,C1_OBMT,C2_OBMT,CDF_x,CTEM_x,DEVI,DTCO,DTSM,ED,GR_EDTC,GTEM_x,HAZI,HAZIM,ITT,ND,P1AZ,PR,RB,SDEV,SDEVM,SPHI,STIT_x,TENS_x,AF10,AF20,AF30,AF60,AF90,AO10,AO20,AO30,AO60,AO90,AT10,AT20,AT30,AT60,AT90,AFCO,AORT,AORX,ASFI,ATCO,CDF_y,CFTC,CNTC,CTEM_y,DCAL,DNPH,DPHZ,DPH8,DSOZ,ECGR,GDEV,GR,GTEM_y,HCAL,HDRA,HDRB,HGR,HMIN,HMNO,HNPO,HPRA,HTNP,NPHI,NPOR,PEF8,PEFZ,PXND_HILT,RHO8,RHOZ,RSOZ,RWA_HILT,RXO8,RXOZ,SP,SPAR,STIT_y,TENS_y,TNPH,Brittleness,facies
1171,1171.0,11260.0,5.1115,5.1193,1370.097,253.6858,0.2391,62.871,112.4681,-0.5636,73.5852,31.4976,80.7826,87.2064,0.0078,0.0843,98.0426,0.2727,17.2586,0.2392,0.2266,0.0683,0.0,4316.0,2.5206,2.5314,2.5445,2.5138,2.4812,2.2224,2.4407,2.6336,2.6978,2.6828,2.6215,2.6728,2.7131,2.6674,2.6823,396.7374,2.4861,2.4514,-2045.2024,381.4602,808.7625,1556.4769,3060.3335,242.6355,-0.0755,-0.0095,0.0125,0.0266,0.0883,91.5998,0.0,89.9476,239.1703,8.6745,-0.0081,-0.1,76.32,12.8345,11.3463,0.1308,0.1503,0.1406,0.1408,0.1311,3.4328,3.4142,0.1139,2.6646,2.6887,0.0,0.0323,15.9588,24.6479,-2048.0,-2048.0,0.0,3893.0,0.1404,0.6152027220806735,shale
1172,1172.0,11260.5,5.1071,5.1238,1370.097,252.5578,0.2375,64.6781,117.4201,-0.5616,77.0858,31.4959,80.5695,86.2743,0.0078,0.0844,66.3265,0.2822,345.7624,0.2376,0.2258,0.0839,0.0,4374.0,2.5445,2.5577,2.5566,2.5241,2.4889,2.7057,2.6363,2.719,2.9135,2.9066,2.7503,2.7663,2.7816,2.7666,2.7576,392.999,2.458,2.4845,-2041.8734,363.5941,798.8085,1670.2816,3116.1819,242.6355,-0.0755,-0.0093,0.0093,0.002,0.0867,87.0525,0.1073,85.4823,239.1703,8.6745,-0.0107,-0.101,93.317,29.6992,26.5449,0.1202,0.141,0.1265,0.1188,0.1258,3.3977,3.3843,0.1042,2.7066,2.6941,0.0763,0.0267,38.3068,14.028,-2048.0,-2048.0,0.0,3870.0,0.1261,0.5966441466131991,shale
1173,1173.0,11261.0,5.1091,5.1175,1370.097,249.0986,0.2381,67.0885,118.9411,-0.5597,78.8465,31.4942,80.4606,85.6576,0.0077,0.0846,34.1998,0.2667,313.7375,0.2382,0.2241,0.1033,0.0,4311.0,2.4605,2.4691,2.4516,2.4192,2.3851,4.1577,3.3901,3.2085,3.1355,3.1325,2.9979,2.9752,2.9577,2.8837,2.8715,406.4232,2.3469,2.4273,-2044.4055,333.5706,801.2971,1689.6875,3028.5557,242.6355,-0.053,-0.0091,0.008,-0.0018,0.0845,85.9873,0.0,84.3533,239.1703,8.697,-0.01,-0.1036,87.6997,8.6386,8.1678,0.1064,0.1321,0.1174,0.1092,0.1086,3.3199,3.3766,0.0976,2.713,2.6963,0.0841,0.0223,12.2866,18.6391,-2048.0,-2048.0,0.0,3850.0,0.1163,0.555780980232746,shale
1174,1174.0,11261.5,5.1154,5.1161,1375.0741,244.612,0.2378,68.6951,121.4372,-0.5577,83.5012,31.4925,80.5522,85.1681,0.0077,0.0847,6.8249,0.2647,286.268,0.2379,0.2237,0.1155,0.0,4390.0,2.2824,2.311,2.2869,2.2555,2.2102,2.682,2.6377,2.7186,2.4654,2.4669,2.441,2.4772,2.4647,2.3872,2.3489,438.1429,2.1935,2.2996,-2050.7786,409.6648,807.696,1611.8092,2876.3516,242.6355,-0.0417,-0.0091,0.0153,0.0201,0.0994,87.273,0.0,85.5725,239.1703,8.7083,-0.0074,-0.1163,73.5717,13.8916,12.357,0.0831,0.1636,0.1164,0.1317,0.0911,3.4111,3.4661,0.0988,2.6756,2.6839,0.1658,0.0214,17.4397,11.4772,-2048.0,-2048.0,0.0,3853.0,0.1157,0.5333680179811549,shale
1175,1175.0,11262.0,5.1128,5.1249,1375.0741,244.612,0.2371,69.1004,120.8985,-0.5558,87.7942,31.4908,80.7733,84.7879,0.0077,0.0849,339.4731,0.2574,258.7028,0.2372,0.223,0.1185,0.0,4441.0,2.1084,2.1583,2.1318,2.1037,2.0715,1.6398,1.6594,1.6396,1.5652,1.5667,1.9338,2.0023,1.9404,1.8939,1.8792,474.2905,2.0566,2.1658,-2050.4336,517.1067,815.8726,1388.3198,2744.7317,242.6355,-0.0755,-0.0095,0.0243,0.0256,0.1065,92.3007,0.0,90.6359,239.1703,8.6745,-0.0065,-0.126,97.8742,8.9129,8.4782,0.161,0.1816,0.1435,0.1703,0.165,3.5441,3.5808,0.1186,2.6662,2.6685,0.1276,0.0289,12.8467,10.5714,-2048.0,-2048.0,0.0,3875.0,0.1432,0.5204292844912437,shale
1176,1176.0,11262.5,5.1079,5.1246,1375.0741,244.6058,0.2351,68.3295,116.4926,-0.5539,93.5664,31.4891,81.3,84.5125,0.0076,0.0851,316.5506,0.2377,235.2493,0.2353,0.2216,0.1128,0.0,4394.0,2.0014,2.0631,2.035,2.0079,1.9785,1.7705,1.8929,1.8106,1.7143,1.7172,1.7756,1.8644,1.8278,1.7923,1.7822,499.6596,1.9806,2.0851,-2053.031,563.1913,812.673,1214.3652,2620.2993,242.6355,-0.0755,-0.0097,0.0347,0.0301,0.1095,99.1634,0.0,97.3748,239.1703,8.6745,-0.0067,-0.1351,101.3881,5.911,4.8263,0.1869,0.1871,0.1693,0.2003,0.1967,3.8451,3.6772,0.1372,2.6585,2.6507,0.1891,0.0373,6.203,9.9656,-2048.0,-2048.0,0.0,3872.0,0.1702,0.5091187852879091,shale
1177,1177.0,11263.0,5.1098,5.1147,1380.051,242.7574,0.235,64.9401,111.8086,-0.5519,93.7794,31.4874,81.5213,84.412,0.0076,0.0853,293.9334,0.2455,212.4085,0.2351,0.2215,0.086,0.0,4409.0,1.9974,2.0602,2.0282,2.0022,1.976,1.6723,1.9071,1.7652,1.6903,1.6924,1.7475,1.8503,1.8177,1.7806,1.761,500.6617,1.9892,2.0911,-2054.9446,572.2302,816.939,1109.0096,2487.2705,242.6355,-0.0755,-0.0097,0.0409,0.0514,0.106,107.7189,0.0,105.7761,239.1703,8.6745,-0.01,-0.1409,92.3929,11.6676,11.0017,0.1775,0.1785,0.1823,0.2356,0.1871,3.8066,3.7033,0.1465,2.6221,2.64,0.121,0.0427,16.293,15.9032,-2048.0,-2048.0,0.0,3917.0,0.1838,0.5578903267311839,shale
1178,1178.0,11263.5,5.1175,5.1175,1375.0741,241.9796,0.2359,62.7986,105.7702,-0.55,95.6039,31.4857,82.1533,84.3101,0.0076,0.0855,276.6935,0.2278,194.5434,0.236,0.2217,0.0677,0.0,4412.0,2.1089,2.1703,2.1336,2.1085,2.0818,1.6266,1.6499,1.6567,1.6165,1.618,1.8506,1.9171,1.8814,1.8556,1.8323,474.1824,2.0966,2.2033,-2052.5642,540.3735,817.65,1102.1357,2610.7961,242.6355,-0.1429,-0.0096,0.0303,0.0427,0.068,108.4724,0.0,106.8317,239.1703,8.6071,-0.007,-0.1261,122.1658,923.1877,847.1326,0.2278,0.1045,0.2019,0.233,0.2171,3.47,3.6,0.1527,2.6369,2.6582,0.0247,0.0489,2637.1387,2402.8992,-2048.0,-2048.0,0.0,3896.0,0.2028,0.5779528847049384,shale
1179,1179.0,11264.0,5.1107,5.1259,1375.0741,240.659,0.2366,61.1757,102.7401,-0.5481,96.21,31.4839,82.8455,84.6748,0.0075,0.0856,268.3756,0.2253,185.5271,0.2367,0.221,0.0529,0.0,4451.0,2.3694,2.3995,2.3546,2.3299,2.2987,2.6575,2.7837,2.5827,2.5527,2.5543,2.3396,2.3676,2.3018,2.2312,2.204,422.0544,2.3125,2.4312,-2052.7109,427.4204,825.471,1189.9208,2740.48,242.6355,-0.1429,-0.0096,0.0149,-0.0097,0.0374,103.4519,0.0,101.8871,239.1703,8.6071,-0.0036,-0.1084,101.6367,467.9864,417.0845,0.2414,0.053,0.1924,0.2164,0.2194,3.5101,3.4852,0.1425,2.7266,2.6845,0.0,0.0469,596.6811,406.6437,-2048.0,-2048.0,0.0,3901.0,0.1919,0.6078636222190656,shale
1180,1180.0,11264.5,5.1067,5.1203,1375.0741,240.659,0.2363,58.8271,101.1776,-0.5462,96.8697,31.4822,84.0657,84.7303,0.0075,0.0858,263.507,0.2447,179.4446,0.2364,0.2206,0.03,0.0,4428.0,2.7749,2.7631,2.7082,2.6973,2.6596,2.9385,2.8199,2.8237,2.9262,2.9241,2.9657,2.85,2.7536,2.6925,2.6698,360.3748,2.6436,2.7816,-2049.3335,337.1849,824.76,1376.851,2903.2341,242.6355,-0.098,-0.0096,0.0043,-0.0024,0.0277,92.4996,0.0,90.9208,239.1703,8.652,-0.0028,-0.0966,78.9278,183.1775,162.6973,0.1274,0.0341,0.1628,0.1639,0.1378,3.2507,3.4049,0.1238,2.7141,2.7026,0.0,0.0405,232.6161,408.499,-2048.0,-2048.0,0.0,3855.0,0.1617,0.6682561585275235,shale
1181,1181.0,11265.0,5.1142,5.1146,1375.0741,240.659,0.2367,57.7276,99.6218,-0.5443,97.0641,31.4805,85.5586,85.1331,0.0075,0.086,259.448,0.2472,173.89,0.2368,0.2218,0.0187,0.0,4412.0,3.2673,3.2383,3.1793,3.1675,3.1037,3.413,3.3074,3.3341,3.5619,3.5537,3.379,3.2983,3.2752,3.2178,3.1846,306.059,3.1017,3.2563,-2047.0739,295.9419,830.4481,1626.1533,3100.1316,242.6355,-0.098,-0.0093,0.0007,-0.0082,0.0277,84.428,0.0,82.9869,239.1703,8.652,-0.0036,-0.0901,86.7831,712.7526,651.1277,0.1325,0.0495,0.134,0.1487,0.1357,3.3969,3.3758,0.1057,2.724,2.7088,0.0,0.0347,1490.519,69.7272,-2048.0,-2048.0,0.0,3839.0,0.1318,0.6926118202703564,shale
1182,1182.0,11265.5,5.1158,5.12,1375.0741,240.659,0.2386,57.3362,98.0678,-0.5423,94.9426,31.4788,86.6487,85.0388,0.0074,0.0862,256.6158,0.2403,169.9714,0.2387,0.2217,0.0146,0.0,4346.0,3.9262,3.842,3.7929,3.8021,3.7043,4.0312,3.8023,3.9847,4.1469,4.1297,4.1926,3.9973,4.0247,3.9221,3.8914,254.7004,3.6226,3.8414,-2045.3503,238.5132,820.1385,1825.9985,3373.1543,242.6355,-0.0755,-0.0092,0.0008,0.0075,0.0375,80.1766,0.0,78.7305,239.1703,8.6745,-0.0053,-0.0861,80.7512,33.5216,29.6165,0.1386,0.0761,0.1241,0.1356,0.1306,3.3268,3.3527,0.1002,2.6972,2.7086,0.0,0.0364,42.0852,55.0786,-2048.0,-2048.0,0.0,3875.0,0.1229,0.6964923029874798,shale
1183,1183.0,11266.0,5.1112,5.1231,1375.0741,240.659,0.2421,57.1514,94.9447,-0.5404,91.1041,31.4771,87.2329,84.6384,0.0074,0.0863,254.1184,0.2159,166.8861,0.2423,0.2214,0.0126,0.0,4423.0,4.6112,4.5044,4.4858,4.5348,4.37,6.1704,5.5258,5.9637,5.982,5.9137,5.297,5.1217,5.2596,5.0906,5.1583,216.8652,4.5058,4.994,-2045.5386,188.7845,808.407,1992.4073,3487.8958,242.6355,-0.0755,-0.009,-0.0009,-0.0056,0.046,73.3245,0.0,72.0019,239.1703,8.6745,-0.0064,-0.0794,67.046,44.8966,39.6931,0.1165,0.0914,0.1103,0.1178,0.1097,3.2432,3.3113,0.0912,2.7196,2.7115,0.0,0.0375,56.5092,54.8265,-2048.0,-2048.0,0.0,3870.0,0.1096,0.6845594352216868,shale
1184,1184.0,11266.5,5.1098,5.1196,1375.0741,240.659,0.2448,56.4244,93.3954,-0.5385,89.6867,31.4754,87.054,84.1342,0.0074,0.0865,251.9927,0.2126,164.9366,0.245,0.2224,0.0047,0.0,4393.0,5.2125,5.1123,5.1319,5.2291,4.9778,9.0457,7.2018,7.0546,6.967,6.849,6.3456,6.186,6.371,6.2465,6.2561,191.8451,5.6239,5.9486,-2043.7295,157.5897,806.274,2183.3904,3623.9517,242.6355,-0.098,-0.0087,-0.0026,-0.0189,0.0544,66.7476,0.0,65.6083,239.1703,8.652,-0.0074,-0.0747,69.0568,405.257,372.7104,0.0798,0.0975,0.097,0.0854,0.0815,3.1707,3.2682,0.0825,2.7423,2.7145,0.0,0.0383,747.6683,66.4633,-2048.0,-2048.0,0.0,3855.0,0.0974,0.699020087004913,shale
1185,1185.0,11267.0,5.1105,5.1189,1370.097,240.659,0.2467,56.4366,93.982,-0.5366,91.734,31.4737,86.924,83.3282,0.0074,0.0867,248.6226,0.218,161.7031,0.2468,0.2216,0.0048,0.0,4428.0,5.6174,5.5635,5.6253,5.7719,5.4141,5.752,5.6373,5.7529,5.452,5.3639,5.8161,5.7017,5.8444,5.8166,5.7289,178.0198,5.0529,5.5439,-2042.5553,171.9373,808.7625,2436.6614,3699.3813,242.6355,-0.098,-0.0083,-0.0057,-0.0074,0.0526,65.2973,0.0,64.1827,239.1703,8.652,-0.0069,-0.0699,62.2567,28.4425,25.1218,0.085,0.0917,0.0786,0.0832,0.0771,3.214,3.2347,0.0687,2.7227,2.7198,0.0037,0.0238,35.6517,66.4093,-2048.0,-2048.0,0.0,3786.0,0.0791,0.703908971588522,shale
1186,1186.0,11267.5,5.1112,5.1207,1375.0741,240.659,0.2466,57.1006,98.2722,-0.5346,96.7591,31.472,86.3884,83.7694,0.0073,0.0869,238.5617,0.2452,152.1766,0.2467,0.2201,0.012,0.0,4416.0,5.8084,5.8358,5.9086,6.0706,5.6439,3.8782,4.3493,4.5658,4.3208,4.2473,5.3331,5.275,5.351,5.4052,5.2801,172.1631,4.7178,5.4026,-2043.3226,187.5089,807.696,2549.8215,3845.9675,242.6355,-0.053,-0.0083,-0.0138,-0.0163,0.0247,62.8715,0.0,61.6768,239.1703,8.697,-0.004,-0.0606,61.9175,29.2293,25.9806,0.0767,0.0608,0.0773,0.0859,0.084,3.2531,3.1827,0.0662,2.7378,2.7335,0.0165,0.0207,37.2015,66.3515,-2048.0,-2048.0,0.0,3843.0,0.0777,0.7096787801736033,shale
1187,1187.0,11268.0,5.1118,5.1194,1375.0741,240.659,0.2431,58.9477,101.0362,-0.5327,100.1858,31.4703,85.4735,84.0744,0.0073,0.0871,217.8848,0.242,132.4068,0.2432,0.2187,0.0313,0.0,4346.0,5.7594,5.8235,5.8997,6.0597,5.6587,5.971,6.0558,6.1179,5.8427,5.6794,6.1875,6.2429,6.4492,6.4427,6.159,173.6296,5.0627,5.7373,-2043.0461,161.6157,798.453,2679.7546,3977.9004,242.6355,-0.098,-0.0082,-0.0145,-0.0118,0.0225,61.0378,0.0,59.996,239.1703,8.652,-0.0037,-0.0684,62.5569,285.401,284.6442,0.112,0.0624,0.0752,0.0898,0.0935,3.1313,3.1635,0.0638,2.7301,2.7349,0.0351,0.0206,1844.0118,1912.449,-2048.0,-2048.0,0.0,3843.0,0.0746,0.6709391027364116,shale
1188,1188.0,11268.5,5.1109,5.1193,1370.097,240.659,0.241,61.4721,105.2216,-0.5308,100.6883,31.4686,85.082,84.5054,0.0073,0.0873,188.3129,0.2409,103.2312,0.2412,0.2176,0.0556,0.0,4354.0,5.3866,5.4243,5.4938,5.6303,5.2357,9.3605,9.8054,8.828,7.9758,7.7366,8.09,8.0642,8.5418,8.6698,8.0335,185.6469,5.7032,6.1739,-2046.714,123.6091,800.586,2787.2363,4092.2534,242.6355,-0.0755,-0.0081,-0.0068,-0.0138,0.0446,57.5678,0.0,56.5294,239.1703,8.6745,-0.0057,-0.0913,56.5345,493.98,464.7059,0.0703,0.0848,0.0731,0.0726,0.0661,3.0616,3.1667,0.0634,2.7336,2.7217,0.039,0.023,1716.7584,1915.5466,-2048.0,-2048.0,0.0,3845.0,0.0725,0.6220729552773139,shale
1189,1189.0,11269.0,5.1126,5.1189,1365.4756,240.659,0.2386,62.9261,112.8555,-0.5289,97.4572,31.4668,84.8887,85.4818,0.0072,0.0875,157.1919,0.2744,72.3067,0.2387,0.2197,0.0688,0.0,4366.0,4.7024,4.6997,4.7546,4.8548,4.5297,7.9574,7.5665,7.6457,6.7523,6.4182,6.7095,6.3101,6.2853,6.1899,5.8127,212.6568,4.0564,4.831,-2050.8108,149.0428,804.4965,2874.8894,4087.4993,242.6355,-0.098,-0.0079,-0.0013,-0.0138,0.0362,56.7389,0.0,55.7705,239.1703,8.652,-0.0052,-0.1044,52.3265,1083.2887,988.0043,0.0497,0.0776,0.0673,0.0618,0.0458,3.1268,3.1492,0.0598,2.7335,2.7123,0.013,0.0145,2707.1599,313.7416,-2048.0,-2048.0,0.0,3857.0,0.0667,0.6194242021461274,shale
1190,1190.0,11269.5,5.1128,5.1197,1365.4756,240.659,0.2365,64.343,115.0239,-0.527,93.6053,31.4651,84.8164,86.0756,0.0072,0.0876,129.3594,0.2723,44.5383,0.2366,0.2215,0.081,0.0,4369.0,3.9568,3.9216,3.9567,4.0159,3.8244,3.9559,3.9246,3.8961,3.6094,3.5042,3.9994,3.9358,4.0091,3.9856,3.761,252.7314,3.5015,3.7858,-2051.6094,250.04,806.985,2687.9263,3982.5313,242.6355,-0.0305,-0.0082,0.0034,0.0172,0.03,61.2139,0.0,59.9917,239.1703,8.7195,-0.0044,-0.1085,59.2863,116.5039,103.3128,0.0625,0.0606,0.0741,0.0734,0.0581,3.0593,3.1349,0.0664,2.6806,2.7041,0.0066,0.0154,147.5986,43.5794,-2048.0,-2048.0,0.0,3898.0,0.0742,0.5965966249187955,shale
