,DEPT,HCAL,GR,DTCO,DTSM,NPHI,RHOZ,PEFZ,facies,facies_number,Kmeans
344,10846.5,8.6408,49.1849,61.6189,112.9967,0.0508,2.7341,4.6476,clean,1,2
345,10847.0,8.6071,56.9602,62.4531,113.1397,0.0516,2.7483,4.5318,shale,2,2
346,10847.5,8.6296,60.2498,62.1396,112.7642,0.052,2.7357,4.579,shale,2,2
347,10848.0,8.6296,60.7075,62.3126,111.9917,0.0574,2.7268,4.6091,shale,2,2
348,10848.5,8.6296,55.3361,60.7872,110.4713,0.0642,2.7285,4.5753,shale,2,2
349,10849.0,8.6296,59.5228,58.7964,106.9903,0.0703,2.7432,4.4919,shale,2,2
350,10849.5,8.652,67.3299,57.1751,105.9386,0.079,2.7547,4.4354,shale,2,2
351,10850.0,8.6296,72.7013,56.4388,105.5154,0.0813,2.74,4.5224,shale,2,0
352,10850.5,8.652,69.1127,56.843,106.272,0.0886,2.7303,4.5335,shale,2,2
353,10851.0,8.6296,69.8259,58.495,106.4123,0.0833,2.7206,4.5032,shale,2,2
354,10851.5,8.6296,64.742,58.6428,106.0118,0.0867,2.7156,4.4721,shale,2,2
355,10852.0,8.6296,62.0505,58.8,106.9553,0.0694,2.707,4.5602,shale,2,2
356,10852.5,8.6296,51.1378,58.3657,106.8426,0.0606,2.7028,4.7242,shale,2,2
357,10853.0,8.6296,50.8503,58.5192,106.8935,0.0408,2.7051,4.8708,shale,2,2
358,10853.5,8.652,44.5702,59.3889,107.2864,0.0325,2.7122,4.8966,clean,1,2
359,10854.0,8.6296,47.2841,59.1947,106.3045,0.036,2.7124,4.8597,clean,1,2
360,10854.5,8.6296,50.8612,59.2751,106.6785,0.0561,2.7079,4.8032,shale,2,2
361,10855.0,8.6296,55.1272,58.7751,106.6292,0.059,2.699,4.7956,shale,2,2
362,10855.5,8.6296,49.4381,58.4154,105.6425,0.0594,2.7005,4.734,clean,1,2
363,10856.0,8.652,45.8494,57.7028,105.3878,0.0459,2.7033,4.6377,clean,1,2
364,10856.5,8.6296,48.1626,57.0744,104.9533,0.06,2.7022,4.5585,clean,1,2
